exercise, icon, body part, category
Ab Wheel Rollout,slicon-bodypart-core,Core,Barbell
Ab Wheel Rollout,slicon-bodypart-back,Core,Barbell
Arnold Press,slicon-bodypart-chest,Chest,Dumbbell
Arnold Press,slicon-bodypart-legs,Chest,Dumbbell
Australian Pull Ups,slicon-bodypart-whole-body,Back,Bodyweight
Australian Pull Ups,slicon-bodypart-back,Back,Bodyweight
Back Extension,slicon-bodypart-core,Back,Bodyweight
Back Extension,slicon-bodypart-back,Back,Bodyweight
Barbell Calf Raise,slicon-bodypart-legs,Legs,Barbell
Barbell Curl,slicon-exercise-dumbbell-curl,Biceps,Barbell
Barbell Curl,slicon-exercise-barbell-curl,Biceps,Barbell
Barbell Front Raise,slicon-bodypart-shoulders,Shoulders,Barbell
Barbell Front Raise,slicon-bodypart-legs,Shoulders,Barbell
Barbell Glute Bridge,slicon-bodypart-chest,Legs,Barbell
Barbell Glute Bridge,slicon-bodypart-whole-body,Legs,Barbell
Barbell Glute Bridge,slicon-bodypart-legs,Legs,Barbell
Barbell Hack Squat,slicon-bodypart-shoulders,Legs,Barbell
Barbell Hack Squat,slicon-bodypart-legs,Legs,Barbell
Barbell Lunge,slicon-bodypart-chest,Legs,Barbell
Barbell Lunge,slicon-bodypart-legs,Legs,Barbell
Barbell Power Shrug,slicon-bodypart-back,Back,Barbell
Barbell Power Shrug,slicon-bodypart-biceps,Back,Barbell
Barbell Pullover,slicon-bodypart-whole-body,Back,Barbell
Barbell Pullover,slicon-bodypart-back,Back,Barbell
Barbell Shrug,slicon-exercise-barbell-shrug,Back,Barbell
Barbell Shrug,slicon-exercise-machine-calf-raise,Back,Barbell
Belt Squat,slicon-bodypart-legs,Legs,Barbell
Belt Squat,slicon-bodypart-biceps,Legs,Barbell
Bench Dips,slicon-bodypart-core,Triceps,Bodyweight
Bench Dips,slicon-bodypart-back,Triceps,Bodyweight
Bench Dips,slicon-bodypart-triceps,Triceps,Bodyweight
Bench Pin Press,slicon-bodypart-shoulders,Chest,Barbell
Bench Pin Press,slicon-bodypart-chest,Chest,Barbell
Bench Pin Press,slicon-bodypart-legs,Chest,Barbell
Bench Press,slicon-exercise-bench-press,Chest,Barbell
Bench Press,slicon-exercise-deadlift,Chest,Barbell
Bench Pull,slicon-bodypart-whole-body,Back,Barbell
Bench Pull,slicon-bodypart-back,Back,Barbell
Bent Over Row,slicon-exercise-bent-over-row,Back,Barbell
Bent Over Row,slicon-exercise-push-ups,Back,Barbell
Bicycle Crunch,slicon-bodypart-core,Core,Bodyweight
Bicycle Crunch,slicon-bodypart-legs,Core,Bodyweight
Bodyweight Squat,slicon-bodypart-legs,Legs,Bodyweight
Box Squat,slicon-bodypart-legs,Legs,Barbell
Box Squat,slicon-bodypart-chest,Legs,Barbell
Burpees,slicon-bodypart-legs,Whole Body,Bodyweight
Burpees,slicon-bodypart-whole-body,Whole Body,Bodyweight
Cable Bicep Curl,slicon-bodypart-biceps,Biceps,Cable
Cable Bicep Curl,slicon-bodypart-forearms,Biceps,Cable
Cable Crossover,slicon-bodypart-legs,Chest,Cable
Cable Crossover,slicon-bodypart-chest,Chest,Cable
Cable Crunch,slicon-exercise-single-leg-squat,Core,Cable
Cable Crunch,slicon-bodypart-core,Core,Cable
Cable Crunch,slicon-bodypart-back,Core,Cable
Cable Fly,slicon-bodypart-chest,Chest,Cable
Cable Fly,slicon-bodypart-legs,Chest,Cable
Cable Kickback,slicon-bodypart-legs,Legs,Cable
Cable Lateral Raise,slicon-bodypart-shoulders,Shoulders,Cable
Cable Lateral Raise,slicon-bodypart-legs,Shoulders,Cable
Cable Leg Extension,slicon-bodypart-biceps,Legs,Cable
Cable Leg Extension,slicon-bodypart-shoulders,Legs,Cable
Cable Leg Extension,slicon-bodypart-legs,Legs,Cable
Cable Leg Extension,slicon-bodypart-back,Legs,Cable
Cable Pull Through,slicon-bodypart-biceps,Legs,Cable
Cable Pull Through,slicon-bodypart-legs,Legs,Cable
Cable Reverse Fly,slicon-bodypart-legs,Back,Cable
Cable Reverse Fly,slicon-bodypart-back,Back,Cable
Cable Shrug,slicon-bodypart-legs,Back,Cable
Cable Shrug,slicon-bodypart-back,Back,Cable
Cable Upright Row,slicon-bodypart-back,Back,Cable
Cable Woodchoppers,slicon-bodypart-core,Core,Cable
Cable Woodchoppers,slicon-bodypart-shoulders,Core,Cable
Cheat Curl,slicon-bodypart-biceps,Biceps,Barbell
Cheat Curl,slicon-bodypart-legs,Biceps,Barbell
Chest Press,slicon-exercise-tricep-pushdown,Chest,Machine
Chest Press,slicon-bodypart-chest,Chest,Machine
Chin Ups,slicon-exercise-chin-ups,Back,Bodyweight
Chin Ups,slicon-exercise-horizontal-leg-press,Back,Bodyweight
Clap Pull Up,slicon-bodypart-core,Whole Body,Bodyweight
Clap Pull Up,slicon-bodypart-whole-body,Whole Body,Bodyweight
